species_scaffold,start,end,gene,homology_id,animal,cluster_id,species_index,comp_scaff
13_Homo_sapiens,19173770,19181852,ENSG00000198033,27,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19173770,19181852,ENSG00000198033,9537,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19422877,19536762,ENSG00000132958,849,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19422877,19536762,ENSG00000132958,10361,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19633681,19673459,ENSG00000196199,6745,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19633681,19673459,ENSG00000196199,16257,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19674752,19783019,ENSG00000121390,1344,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19674752,19783019,ENSG00000121390,10856,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19823482,19863636,ENSG00000132950,1402,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19823482,19863636,ENSG00000132950,10912,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19958670,20091829,ENSG00000121741,1402,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,19958670,20091829,ENSG00000121741,10912,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20403666,20525873,ENSG00000165475,2686,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20403666,20525873,ENSG00000165475,12198,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20567069,20691437,ENSG00000032742,2301,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20567069,20691437,ENSG00000032742,11818,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20728731,20773958,ENSG00000150456,4642,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20728731,20773958,ENSG00000150456,14154,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20777329,20903048,ENSG00000132953,2380,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20777329,20903048,ENSG00000132953,11889,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20973032,21061547,ENSG00000150457,16,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,20973032,21061547,ENSG00000150457,9526,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,21140514,21149084,ENSG00000150459,2685,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,21140514,21149084,ENSG00000150459,12197,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,21372573,21459370,ENSG00000180776,1112,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,21372573,21459370,ENSG00000180776,10622,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,21492691,21604214,ENSG00000165487,586,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,21492691,21604214,ENSG00000165487,10096,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23180952,23325165,ENSG00000102683,3042,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23180952,23325165,ENSG00000102683,12552,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23328826,23433740,ENSG00000151835,901,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23328826,23433740,ENSG00000151835,10411,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23730189,23889419,ENSG00000027001,2987,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23730189,23889419,ENSG00000027001,12481,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23890525,23902655,ENSG00000205863,784,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23890525,23902655,ENSG00000205863,10294,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23979700,24321031,ENSG00000273167,862,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23979700,24321031,ENSG00000273167,10373,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23979805,24307074,ENSG00000182957,862,Homo_sapiens,2,6,KN147632.2_Danio_rerio
13_Homo_sapiens,23979805,24307074,ENSG00000182957,10373,Homo_sapiens,2,6,KN147632.2_Danio_rerio
